group_by,group,win_rate,win_rate_ci_low,win_rate_ci_high,capture_rate,capture_rate_ci_low,capture_rate_ci_high,survival_rate,survival_rate_ci_low,survival_rate_ci_high,mean_steps,mean_steps_ci_low,mean_steps_ci_high,mean_barriers,mean_barriers_ci_low,mean_barriers_ci_high,mean_score,mean_score_ci_low,mean_score_ci_high,n
grid,11,0.991071,0.984127,0.996032,0.008929,0.003968,0.015873,0.991071,0.984127,0.996032,34.706349,34.477183,34.869048,0.837302,0.691468,1.000992,9.955357,9.920635,9.980159,1008
grid,7,0.984887,0.979345,0.989924,0.015113,0.010076,0.020655,0.984887,0.979345,0.989924,34.503275,34.320403,34.668514,1.403023,1.279597,1.529975,9.924433,9.896725,9.949622,1985
grid,9,0.991018,0.986527,0.994511,0.008982,0.005489,0.013473,0.991018,0.986527,0.994511,39.660679,39.36976,39.931138,1.108782,0.998004,1.229042,9.95509,9.932635,9.972555,2004
