group_by,group,win_rate,win_rate_ci_low,win_rate_ci_high,capture_rate,capture_rate_ci_low,capture_rate_ci_high,survival_rate,survival_rate_ci_low,survival_rate_ci_high,mean_steps,mean_steps_ci_low,mean_steps_ci_high,mean_barriers,mean_barriers_ci_low,mean_barriers_ci_high,mean_score,mean_score_ci_low,mean_score_ci_high,n
config,appendixF-example,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,35.0,35.0,35.0,1.555556,0.0,3.777778,10.0,10.0,10.0,9
config,grid11,0.991071,0.984127,0.996032,0.008929,0.003968,0.015873,0.991071,0.984127,0.996032,34.706349,34.477183,34.869048,0.837302,0.691468,1.000992,9.955357,9.920635,9.980159,1008
config,grid7,0.984818,0.976721,0.990891,0.015182,0.009109,0.023279,0.984818,0.976721,0.990891,34.501012,34.23583,34.703441,1.398785,1.224696,1.59413,9.924089,9.883603,9.954453,988
config,grid7-quota22,0.984818,0.976721,0.991903,0.015182,0.008097,0.023279,0.984818,0.976721,0.991903,34.501012,34.23583,34.732794,1.40587,1.227733,1.601215,9.924089,9.883603,9.959514,988
config,grid9,0.991018,0.98503,0.996008,0.008982,0.003992,0.01497,0.991018,0.98503,0.996008,34.705589,34.508982,34.869261,1.10479,0.93513,1.274451,9.95509,9.92515,9.98004,1002
config,grid9-horizon45,0.991018,0.98503,0.996008,0.008982,0.003992,0.01497,0.991018,0.98503,0.996008,44.615768,44.358283,44.829341,1.112774,0.952096,1.300399,9.95509,9.92515,9.98004,1002
