schema,role,commit,strategy,strategy_sha256,opponent_family,seed_set,seed,scenario_id,police_start,thief_start,config,grid,quota,horizon,outcome,captured,steps,barriers_placed,own_score,opponent_score
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,development,4121802901490525102,53f075c5aa7ab6baf4a61d4b9c28d86ca38edb0bbbc1c7514c50a9c83459b492,"5,5","2,0",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,development,18414347572143683132,4d7f13882ba8084c41f6fbed8e50cd0f4df83eaf819c3c5f9bc8ecc5c4daa0a0,"5,4","2,6",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,development,12403128132904351122,5f9ce22cc6a37116928eb0a101036cf20d647f4fb527b61cfc4ae089eeb2863c,"6,6","3,6",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,development,17901447736580998635,4cf142da2817c0d1b75203bfe1d96b859c27c67ad2f69038ea75b8c08104d06b,"0,3","1,1",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,development,10999205876451370063,8b953801d75f860bd932de47d8dc9d0a111e2dd26e524609e1098c8c10a27996,"0,2","6,6",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,development,6548706108780859560,75778aedf80bf37178a8ad7ee8634028ebf9f7f179ae6609b8166840e65f18ad,"0,5","1,5",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,development,15602693097989704502,e9b0d267b05abd588a55d6674b33799e86dd38e14cda43f7a3c211f8e2fd130a,"6,1","0,5",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,development,17807834701948516605,7a62d724d8347a63f5b0dc4aa918e675f52957ba38ebf0e82219740b47cf5c27,"2,5","5,0",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,development,3980928862675076366,1727c6b002b7d77f188add56ba52c5a220374db2fe15fcc3d75be6b7a91aa44e,"0,3","3,5",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,development,2401294506762670637,13ba1b17219ec049ce20ed24ad1dc33a6e3ac604550040d97c5a6280e00dd355,"4,0","0,0",grid7,7,14,35,SURVIVAL,0,35,0,10,5
